,Country Name,year,GDP_USD,GDP_per_capita_USD
128,russia,2012,2208300000000.0,15420.875
129,usa,2012,16254000000000.0,51784.41857
130,australia,2013,1576340000000.0,68156.62792
131,brazil,2013,2472820000000.0,12300.38671
132,canda,2013,1846600000000.0,52635.17496
133,china,2013,9570410000000.0,7020.338485
134,germany,2013,3733800000000.0,46298.92292
135,uk,2013,2803290000000.0,43713.81412
136,india,2013,1856720000000.0,1449.610451
137,japan,2013,5212330000000.0,40898.6479
138,russia,2013,2292470000000.0,15974.64453
139,usa,2013,16843200000000.0,53291.12769
140,australia,2014,1467500000000.0,62511.69059
141,brazil,2014,2456040000000.0,12112.83496
142,canda,2014,1805750000000.0,50955.99832
143,china,2014,10475700000000.0,7636.116601
144,germany,2014,3889090000000.0,48023.86998
145,uk,2014,3087170000000.0,47787.2413
146,india,2014,2039130000000.0,1573.885642
147,japan,2014,4896990000000.0,38475.39525
148,russia,2014,2059240000000.0,14095.64844
149,usa,2014,17550700000000.0,55123.84979
150,australia,2015,1350530000000.0,56707.02208
151,brazil,2015,1802210000000.0,8813.989806
152,canda,2015,1556510000000.0,43596.13554
153,china,2015,11061600000000.0,8016.431435
154,germany,2015,3357590000000.0,41103.25644
155,uk,2015,2956570000000.0,45404.56777
156,india,2015,2103590000000.0,1605.605445
157,japan,2015,4444930000000.0,34960.63938
158,russia,2015,1363480000000.0,9313.013672
159,usa,2015,18206000000000.0,56762.72945
160,australia,2016,1206690000000.0,49881.76371
161,brazil,2016,1795690000000.0,8710.06329
162,canda,2016,1527990000000.0,42315.60371
163,china,2016,11233300000000.0,8094.363367
164,germany,2016,3469850000000.0,42136.12079
165,uk,2016,2722850000000.0,41499.5557
166,india,2016,2294800000000.0,1732.554242
167,japan,2016,5003680000000.0,39375.47316
168,russia,2016,1276790000000.0,8704.898438
169,usa,2016,18695100000000.0,57866.74493
170,australia,2017,1326880000000.0,53934.25018
171,brazil,2017,2063510000000.0,9928.675897
172,canda,2017,1649270000000.0,45129.4293
173,china,2017,12310400000000.0,8816.986905
174,germany,2017,3690850000000.0,44652.58917
175,uk,2017,2699020000000.0,40857.75558
176,india,2017,2651470000000.0,1980.66702
177,japan,2017,4930840000000.0,38834.05293
178,russia,2017,1574200000000.0,10720.33301
179,usa,2017,19479600000000.0,59914.7778
180,australia,2018,1428530000000.0,57180.7794
181,brazil,2018,1916930000000.0,9151.381732
182,canda,2018,1725330000000.0,46548.63841
